Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,116.650002,117.199997,115.430000,115.820000,30586300,113.088043
2016-12-29,116.449997,117.110001,116.400002,116.730003,15039500,113.976585
2016-12-28,117.519997,118.019997,116.199997,116.760002,20905900,114.005882
2016-12-27,116.519997,117.800003,116.489998,117.260002,18296900,114.494087
2016-12-23,115.589996,116.519997,115.589996,116.519997,14181200,113.771530
2016-12-22,116.349998,116.510002,115.639999,116.290001,26085900,113.546967
2016-12-21,116.800003,117.400002,116.779999,117.059998,23783200,114.298805
2016-12-20,116.739998,117.500000,116.680000,116.949997,21425000,114.191406
2016-12-19,115.800003,117.379997,115.750000,116.639999,27779400,113.888710
2016-12-16,116.470001,116.500000,115.650002,115.970001,44351100,113.234512
2016-12-15,115.379997,116.730003,115.230003,115.820000,46524500,113.088043
2016-12-14,115.040001,116.199997,114.980003,115.190002,34031800,112.472916
2016-12-13,113.839996,115.919998,113.750000,115.190002,43733800,112.472916
2016-12-12,113.290001,115.000000,112.489998,113.300003,26374400,110.627495
2016-12-09,112.309998,114.699997,112.309998,113.949997,34402600,111.262154
2016-12-08,110.860001,112.430000,110.599998,112.120003,27068300,109.475334
2016-12-07,109.260002,111.190002,109.160004,111.029999,29998700,108.411034
2016-12-06,109.500000,110.360001,109.190002,109.949997,26195500,107.356506
2016-12-05,110.000000,110.029999,108.250000,109.110001,34324500,106.536316
2016-12-02,109.169998,110.089996,108.849998,109.900002,26528000,107.307686
2016-12-01,110.370003,110.940002,109.029999,109.489998,37086900,106.907356
2016-11-30,111.599998,112.199997,110.269997,110.519997,36162300,107.913071
2016-11-29,110.779999,112.029999,110.070000,111.459999,28528800,108.830894
2016-11-28,111.430000,112.470001,111.389999,111.570000,27194000,108.938301
2016-11-25,111.129997,111.870003,110.949997,111.790001,11475900,109.153107
2016-11-23,111.360001,111.510002,110.330002,111.230003,27426400,108.606323
2016-11-22,111.949997,112.419998,111.400002,111.800003,25965500,109.162872
2016-11-21,110.120003,111.989998,110.010002,111.730003,29264600,109.094528
2016-11-18,109.720001,110.540001,109.660004,110.059998,28428900,107.463921
2016-11-17,109.809998,110.349998,108.830002,109.949997,27632000,107.356506
2016-11-16,106.699997,110.230003,106.599998,109.989998,58840500,107.395561
2016-11-15,106.570000,107.680000,106.160004,107.110001,32264500,104.583504
2016-11-14,107.709999,107.809998,104.080002,105.709999,51175500,103.216522
2016-11-11,107.120003,108.870003,106.550003,108.430000,34094100,105.872368
2016-11-10,111.089996,111.089996,105.830002,107.790001,57134500,105.247467
2016-11-09,109.879997,111.320000,108.050003,110.879997,59176400,108.264572
2016-11-08,110.309998,111.720001,109.699997,111.059998,24054500,108.440315
2016-11-07,110.080002,110.510002,109.459999,110.410004,32560000,107.805664
2016-11-04,108.529999,110.250000,108.110001,108.839996,30837000,106.272697
2016-11-03,110.980003,111.459999,109.550003,109.830002,26932600,107.239349
2016-11-02,111.400002,112.349998,111.230003,111.589996,28331700,108.401276
2016-11-01,113.459999,113.769997,110.529999,111.489998,43825800,108.304131
2016-10-31,113.650002,114.230003,113.199997,113.540001,26419400,110.295540
2016-10-28,113.870003,115.209999,113.449997,113.720001,37861700,110.470398
2016-10-27,115.389999,115.860001,114.099998,114.480003,34562000,111.208687
2016-10-26,114.309998,115.699997,113.309998,115.589996,66134200,112.286957
2016-10-25,117.949997,118.360001,117.309998,118.250000,48129000,114.870956
2016-10-24,117.099998,117.739998,117.000000,117.650002,23538700,114.288109
2016-10-21,116.809998,116.910004,116.279999,116.599998,23192700,113.268097
2016-10-20,116.860001,117.379997,116.330002,117.059998,24125800,113.714958
2016-10-19,117.250000,117.760002,113.800003,117.120003,20034600,113.773247
2016-10-18,118.180000,118.209999,117.449997,117.470001,24553500,114.113251
2016-10-17,117.330002,117.839996,116.779999,117.550003,23624900,114.190964
2016-10-14,117.879997,118.169998,117.129997,117.629997,35652200,114.268661
2016-10-13,116.790001,117.440002,115.720001,116.980003,35192400,113.637253
2016-10-12,117.349998,117.980003,116.750000,117.339996,37586800,113.986969
2016-10-11,117.699997,118.690002,116.199997,116.300003,64041000,112.976685
2016-10-10,115.019997,116.750000,114.720001,116.050003,36236000,112.733818
2016-10-07,114.309998,114.559998,113.510002,114.059998,24358400,110.800682
2016-10-06,113.699997,114.339996,113.129997,113.889999,28779300,110.635551
2016-10-05,113.400002,113.660004,112.690002,113.050003,21453100,109.819550
2016-10-04,113.059998,114.309998,112.629997,113.000000,29736800,109.770973
2016-10-03,112.709999,113.050003,112.279999,112.519997,21701800,109.304688
2016-09-30,112.459999,113.370003,111.800003,113.050003,36379100,109.819550
2016-09-29,113.160004,113.800003,111.800003,112.180000,35887000,108.974403
2016-09-28,113.690002,114.639999,113.430000,113.949997,29641100,110.693840
2016-09-27,113.000000,113.180000,112.339996,113.089996,24607400,109.858406
2016-09-26,111.639999,113.389999,111.550003,112.879997,29869400,109.654411
2016-09-23,114.419998,114.790001,111.550003,112.709999,52481200,109.489258
2016-09-22,114.349998,114.940002,114.000000,114.620003,31074000,111.344696
2016-09-21,113.849998,113.989998,112.440002,113.550003,36003200,110.305275
2016-09-20,113.050003,114.120003,112.510002,113.570000,34514300,110.324692
2016-09-19,115.190002,116.180000,113.250000,113.580002,47023000,110.334419
2016-09-16,115.120003,116.129997,114.040001,114.919998,79886900,111.636124
2016-09-15,113.860001,115.730003,113.489998,115.570000,89983600,112.267540
2016-09-14,108.730003,113.029999,108.599998,111.769997,110888700,108.576126
2016-09-13,107.510002,108.790001,107.239998,107.949997,62176200,104.865273
2016-09-12,102.650002,105.720001,102.529999,105.440002,45292800,102.427010
2016-09-09,104.639999,105.720001,103.129997,103.129997,46557000,100.183022
2016-09-08,107.250000,107.269997,105.239998,105.519997,53002000,102.504723
2016-09-07,107.830002,108.760002,107.070000,108.360001,42364300,105.263565
2016-09-06,107.900002,108.300003,107.510002,107.699997,26880400,104.622429
2016-09-02,107.699997,108.000000,106.820000,107.730003,26802500,104.651573
2016-09-01,106.139999,106.800003,105.620003,106.730003,26701500,103.680153
2016-08-31,105.660004,106.570000,105.639999,106.099998,29662400,103.068153
2016-08-30,105.800003,106.500000,105.500000,106.000000,24863900,102.971016
2016-08-29,106.620003,107.440002,106.290001,106.820000,24970300,103.767578
2016-08-26,107.410004,107.949997,106.309998,106.940002,27766300,103.884140
2016-08-25,107.389999,107.879997,106.680000,107.570000,25086200,104.496147
2016-08-24,108.570000,108.750000,107.680000,108.029999,23675100,104.943001
2016-08-23,108.589996,109.320000,108.529999,108.849998,21257700,105.739555
2016-08-22,108.860001,109.099998,107.849998,108.510002,25820200,105.409286
2016-08-19,108.769997,109.690002,108.360001,109.360001,25368100,106.234985
